word,n_periods,min_freq,max_freq,freq_profile
pursued,4,34,192,"[192, 113, 34, 39]"
gallery,4,34,105,"[105, 67, 36, 34]"
star,4,34,66,"[66, 56, 36, 34]"
wanting,4,34,148,"[148, 56, 34, 44]"
treated,4,34,114,"[114, 72, 34, 38]"
masters,4,34,84,"[84, 34, 43, 36]"
narrative,4,34,99,"[99, 34, 40, 65]"
lighted,4,34,224,"[224, 139, 34, 43]"
soil,4,34,105,"[105, 49, 34, 44]"
arrival,4,34,193,"[193, 137, 34, 90]"
pink,4,34,53,"[53, 46, 50, 34]"
contrast,4,33,74,"[74, 39, 33, 34]"
waistcoat,4,33,153,"[153, 54, 33, 33]"
murmur,4,33,81,"[81, 45, 43, 33]"
gaily,4,33,39,"[39, 37, 34, 33]"
basket,4,33,122,"[122, 33, 43, 36]"
prey,4,33,72,"[72, 33, 66, 47]"
walks,4,33,110,"[110, 33, 39, 40]"
keeps,4,33,82,"[82, 49, 33, 36]"
fitted,4,33,57,"[52, 33, 57, 39]"
advance,4,33,148,"[148, 82, 33, 54]"
gathering,4,33,48,"[48, 40, 35, 33]"
experienced,4,33,116,"[116, 95, 33, 35]"
guess,4,33,136,"[136, 80, 50, 33]"
steel,4,33,69,"[69, 33, 37, 65]"
guilty,4,33,107,"[105, 107, 33, 37]"
smooth,4,33,71,"[71, 70, 35, 33]"
energy,4,33,151,"[151, 77, 33, 38]"
follows,4,33,98,"[98, 33, 70, 60]"
boldly,4,33,46,"[46, 38, 33, 43]"
shown,4,33,136,"[136, 92, 105, 33]"
scarlet,4,33,141,"[141, 33, 40, 40]"
group,4,33,152,"[140, 80, 152, 33]"
destroyed,4,33,100,"[43, 100, 65, 33]"
previously,4,33,94,"[94, 37, 33, 48]"
crown,4,33,115,"[115, 33, 56, 69]"
naked,4,33,62,"[62, 33, 55, 57]"
gained,4,33,119,"[119, 84, 33, 41]"
praise,4,33,103,"[103, 35, 33, 50]"
fatal,4,33,127,"[127, 67, 33, 40]"
useless,4,33,104,"[101, 104, 43, 33]"
gates,4,33,50,"[50, 49, 38, 33]"
someone,4,33,143,"[33, 143, 110, 64]"
admirable,4,33,73,"[73, 44, 45, 33]"
royal,4,33,115,"[115, 33, 76, 96]"
violently,4,33,87,"[87, 67, 38, 33]"
immediate,4,33,118,"[118, 40, 33, 46]"
creation,4,33,69,"[54, 48, 69, 33]"
problem,4,33,90,"[90, 38, 33, 33]"
quantity,4,33,87,"[87, 48, 33, 43]"
apartment,4,33,148,"[148, 107, 33, 35]"
wandered,4,33,67,"[67, 62, 36, 33]"
elbow,4,33,100,"[100, 63, 42, 33]"
brass,4,33,76,"[76, 33, 50, 50]"
disappeared,4,33,207,"[207, 184, 34, 33]"
sacrifice,4,33,109,"[109, 49, 33, 42]"
rested,4,33,103,"[103, 80, 47, 33]"
favour,4,33,172,"[172, 33, 67, 48]"
inner,4,33,58,"[58, 52, 41, 33]"
forgive,4,33,172,"[156, 172, 34, 33]"
forty,4,32,164,"[164, 67, 32, 56]"
dreams,4,32,112,"[104, 112, 44, 32]"
utmost,4,32,183,"[183, 67, 32, 49]"
delivered,4,32,136,"[136, 44, 32, 44]"
shows,4,32,83,"[83, 32, 67, 51]"
nonsense,4,32,166,"[166, 80, 40, 32]"
waste,4,32,88,"[88, 59, 33, 32]"
merry,4,32,170,"[170, 36, 32, 42]"
wishes,4,32,169,"[169, 140, 32, 51]"
blew,4,32,55,"[55, 43, 36, 32]"
pen,4,32,162,"[162, 71, 32, 69]"
bells,4,32,37,"[37, 37, 37, 32]"
entertained,4,32,67,"[67, 34, 32, 32]"
invented,4,32,37,"[37, 35, 35, 32]"
type,4,32,54,"[47, 40, 54, 32]"
feared,4,32,129,"[129, 123, 36, 32]"
required,4,32,195,"[195, 101, 32, 46]"
absurd,4,32,70,"[58, 70, 32, 34]"
outer,4,32,95,"[95, 48, 37, 32]"
burned,4,32,63,"[52, 63, 32, 35]"
chin,4,32,161,"[161, 61, 36, 32]"
conceived,4,32,48,"[48, 37, 32, 36]"
recall,4,32,102,"[102, 74, 32, 34]"
eaten,4,32,59,"[52, 59, 35, 32]"
storm,4,32,115,"[115, 107, 32, 55]"
report,4,32,126,"[126, 108, 32, 54]"
skill,4,32,93,"[93, 32, 52, 56]"
memories,4,32,73,"[41, 73, 32, 32]"
dangerous,4,32,136,"[136, 84, 32, 33]"
wave,4,32,46,"[46, 38, 32, 38]"
touching,4,32,185,"[185, 85, 32, 77]"
portion,4,32,130,"[130, 59, 32, 33]"
stayed,4,32,88,"[88, 66, 47, 32]"
aged,4,32,92,"[92, 87, 32, 40]"
cost,4,32,100,"[100, 75, 39, 32]"
floated,4,32,47,"[47, 32, 40, 33]"
nostrils,4,32,34,"[32, 33, 33, 34]"
fires,4,32,38,"[38, 32, 35, 37]"
sufficiently,4,32,145,"[145, 69, 42, 32]"
hills,4,32,84,"[81, 84, 32, 34]"
deed,4,32,73,"[73, 49, 32, 37]"
guide,4,32,72,"[72, 62, 38, 32]"
contained,4,32,104,"[104, 74, 32, 46]"
calmly,4,32,78,"[78, 60, 32, 41]"
degrees,4,32,80,"[80, 56, 60, 32]"
driving,4,32,85,"[77, 85, 37, 32]"
charm,4,32,82,"[72, 82, 32, 38]"
parties,4,32,126,"[126, 32, 34, 39]"
hang,4,32,92,"[92, 43, 32, 36]"
fifth,4,32,45,"[45, 37, 32, 32]"
theory,4,32,164,"[54, 57, 164, 32]"
guardian,4,31,459,"[459, 73, 31, 35]"
elements,4,31,49,"[49, 32, 35, 31]"
drops,4,31,69,"[69, 68, 31, 33]"
thither,4,31,106,"[106, 45, 31, 57]"
student,4,31,79,"[31, 32, 79, 78]"
valley,4,31,69,"[69, 52, 31, 33]"
springs,4,31,37,"[31, 33, 31, 37]"
reasons,4,31,192,"[192, 57, 53, 31]"
literature,4,31,48,"[33, 31, 48, 46]"
struggling,4,31,82,"[82, 59, 40, 31]"
sunlight,4,31,52,"[52, 49, 43, 31]"
fun,4,31,54,"[54, 31, 45, 46]"
liberty,4,31,249,"[249, 111, 31, 64]"
depend,4,31,112,"[112, 42, 31, 39]"
horrors,4,31,37,"[31, 34, 37, 37]"
offering,4,31,68,"[68, 42, 32, 31]"
hopes,4,31,173,"[173, 112, 31, 61]"
mamma,4,31,67,"[67, 59, 31, 37]"
price,4,31,110,"[110, 79, 31, 38]"
collected,4,31,66,"[66, 52, 42, 31]"
older,4,31,109,"[109, 64, 61, 31]"
perceive,4,31,118,"[118, 54, 31, 35]"
compelled,4,31,53,"[53, 47, 46, 31]"
hitherto,4,31,93,"[93, 75, 31, 39]"
visits,4,31,94,"[94, 31, 31, 32]"
chose,4,31,98,"[98, 32, 31, 33]"
cave,4,31,67,"[31, 67, 33, 35]"
increase,4,31,100,"[76, 43, 100, 31]"
bath,4,31,74,"[74, 31, 61, 54]"
picking,4,31,40,"[31, 38, 38, 40]"
begged,4,31,133,"[133, 69, 31, 31]"
belong,4,31,114,"[114, 42, 35, 31]"
couple,4,31,265,"[265, 87, 38, 31]"
confusion,4,31,162,"[162, 73, 31, 31]"
agreeable,4,31,316,"[316, 81, 31, 70]"
completed,4,31,77,"[77, 39, 31, 31]"
departure,4,31,154,"[154, 101, 31, 35]"
nurse,4,31,126,"[85, 126, 78, 31]"
utter,4,31,112,"[112, 101, 31, 46]"
invited,4,31,102,"[102, 73, 38, 31]"
likes,4,31,93,"[93, 35, 31, 36]"
foul,4,31,47,"[36, 31, 36, 47]"
arrangement,4,31,99,"[99, 31, 41, 32]"
stated,4,31,82,"[82, 31, 54, 49]"
qualities,4,31,87,"[87, 43, 38, 31]"
sensation,4,31,90,"[75, 90, 31, 32]"
slender,4,31,45,"[31, 45, 39, 37]"
murdered,4,31,65,"[44, 65, 33, 31]"
generous,4,31,123,"[123, 47, 31, 49]"
blowing,4,31,76,"[76, 31, 31, 32]"
wounds,4,31,43,"[43, 37, 31, 33]"
committed,4,31,132,"[132, 73, 37, 31]"
trade,4,31,119,"[119, 67, 31, 34]"
method,4,31,57,"[49, 57, 31, 32]"
dried,4,31,53,"[53, 44, 36, 31]"
respects,4,31,73,"[73, 36, 37, 31]"
nails,4,31,65,"[65, 31, 42, 44]"
finish,4,30,77,"[62, 77, 30, 31]"
abode,4,30,48,"[48, 30, 34, 45]"
numbers,4,30,117,"[60, 30, 117, 37]"
veins,4,30,60,"[37, 60, 30, 31]"
knocked,4,30,130,"[130, 57, 38, 30]"
alike,4,30,98,"[98, 33, 35, 30]"
possess,4,30,85,"[85, 61, 47, 30]"
swung,4,30,52,"[52, 31, 30, 41]"
farewell,4,30,55,"[55, 54, 30, 35]"
delay,4,30,110,"[110, 97, 30, 46]"
nation,4,30,134,"[134, 30, 33, 41]"
corn,4,30,62,"[55, 52, 30, 62]"
reward,4,30,57,"[57, 39, 30, 36]"
numerous,4,30,116,"[116, 30, 78, 43]"
depths,4,30,150,"[150, 50, 30, 30]"
salt,4,30,44,"[44, 37, 30, 37]"
struggle,4,30,132,"[131, 122, 132, 30]"
cutting,4,30,105,"[105, 44, 30, 61]"
destiny,4,30,124,"[124, 44, 30, 32]"
fearful,4,30,100,"[87, 100, 30, 54]"
resolved,4,30,227,"[227, 136, 30, 69]"
deserted,4,30,139,"[139, 85, 37, 30]"
burn,4,30,62,"[62, 41, 30, 37]"
independent,4,30,105,"[105, 39, 48, 30]"
humour,4,30,100,"[100, 30, 46, 60]"
beloved,4,30,67,"[67, 64, 30, 31]"
smiles,4,30,80,"[80, 53, 30, 36]"
subtle,4,30,51,"[51, 51, 30, 33]"
hatred,4,30,100,"[100, 80, 48, 30]"
parlour,4,30,191,"[191, 30, 60, 30]"
dragged,4,30,102,"[102, 67, 30, 33]"
astonishment,4,30,189,"[189, 106, 30, 49]"
generation,4,30,69,"[32, 32, 69, 30]"
refuge,4,30,79,"[79, 44, 30, 31]"
feels,4,30,122,"[122, 45, 30, 51]"
university,4,30,50,"[30, 33, 50, 49]"
constantly,4,30,131,"[131, 55, 32, 30]"
provided,4,30,119,"[119, 56, 30, 43]"
cease,4,30,52,"[52, 42, 36, 30]"
admitted,4,30,115,"[115, 49, 57, 30]"
interval,4,30,96,"[96, 53, 30, 40]"
garments,4,30,71,"[71, 30, 50, 40]"
trick,4,30,37,"[37, 37, 30, 30]"
correct,4,30,85,"[85, 43, 35, 30]"
unexpected,4,30,117,"[117, 70, 32, 30]"
scheme,4,30,88,"[88, 39, 30, 45]"
religious,4,30,122,"[122, 51, 30, 30]"
active,4,30,123,"[123, 40, 33, 30]"
reverend,4,30,126,"[126, 30, 41, 45]"
stock,4,30,116,"[116, 49, 48, 30]"
hid,4,30,96,"[96, 90, 36, 30]"
goodness,4,30,184,"[184, 77, 30, 44]"
writes,4,30,40,"[40, 30, 32, 30]"
established,4,30,110,"[110, 40, 37, 30]"
weapon,4,30,37,"[37, 30, 32, 33]"
destruction,4,30,68,"[30, 68, 56, 40]"
tossed,4,30,87,"[87, 37, 30, 51]"
arose,4,30,101,"[101, 98, 46, 30]"
discussion,4,30,74,"[74, 55, 37, 30]"
locked,4,30,129,"[129, 102, 48, 30]"
revenge,4,30,77,"[73, 77, 30, 38]"
comparison,4,30,75,"[75, 30, 40, 32]"
increasing,4,30,56,"[56, 40, 39, 30]"
gain,4,30,86,"[86, 68, 49, 30]"
track,4,30,94,"[94, 67, 30, 33]"
awake,4,30,100,"[75, 100, 30, 30]"
fastened,3,29,92,"[92, 65, 29, 43]"
causes,3,29,76,"[73, 32, 76, 29]"
reader,3,29,198,"[198, 29, 66, 69]"
interrupted,3,29,162,"[162, 134, 36, 29]"
winds,3,29,65,"[65, 29, 44, 60]"
intelligence,3,29,209,"[209, 81, 29, 62]"
sell,3,29,106,"[106, 60, 29, 41]"
sideways,3,29,64,"[53, 29, 43, 64]"
tables,3,29,63,"[63, 29, 31, 30]"
pole,3,29,64,"[41, 29, 47, 64]"
exercise,3,29,106,"[106, 67, 31, 29]"
wounded,3,29,122,"[122, 72, 29, 32]"
musical,3,29,49,"[49, 29, 33, 37]"
elsewhere,3,29,123,"[123, 33, 38, 29]"
quarters,3,29,72,"[72, 29, 36, 38]"
ruined,3,29,78,"[67, 78, 42, 29]"
inn,3,29,243,"[243, 62, 32, 29]"
compared,3,29,74,"[74, 49, 65, 29]"
creatures,3,29,140,"[140, 104, 29, 65]"
recognised,3,29,46,"[46, 36, 35, 29]"
warmth,3,29,66,"[66, 44, 43, 29]"
frightful,3,29,144,"[144, 76, 31, 29]"
reminded,3,29,82,"[79, 82, 32, 29]"
blank,3,29,88,"[88, 39, 34, 29]"
traveller,3,29,148,"[88, 148, 29, 35]"
colonel,3,29,244,"[244, 63, 29, 76]"
prolonged,3,29,51,"[51, 34, 29, 36]"
avenue,3,29,49,"[29, 49, 35, 35]"
washed,3,29,62,"[62, 35, 31, 29]"
mutual,3,29,101,"[101, 37, 45, 29]"
proposed,3,29,153,"[153, 82, 29, 32]"
sighed,3,29,89,"[60, 89, 29, 33]"
pulling,3,29,100,"[100, 68, 29, 50]"
trace,3,29,78,"[66, 78, 36, 29]"
throne,3,29,38,"[38, 30, 29, 31]"
halted,3,29,98,"[98, 29, 61, 62]"
gazing,3,29,126,"[126, 83, 29, 54]"
occur,3,29,78,"[58, 37, 78, 29]"
tied,3,29,125,"[125, 87, 29, 37]"
misfortune,3,29,117,"[97, 117, 29, 32]"
meanwhile,3,29,194,"[194, 105, 29, 50]"
miserable,3,29,250,"[250, 171, 29, 37]"
purse,3,29,84,"[84, 55, 29, 33]"
yards,3,29,107,"[107, 82, 29, 37]"
smaller,3,29,62,"[62, 31, 48, 29]"
whistle,3,29,34,"[32, 31, 34, 29]"
chapel,3,29,83,"[81, 29, 72, 83]"
newspaper,3,29,64,"[64, 30, 38, 29]"
fairly,3,29,112,"[112, 58, 29, 30]"
missing,3,29,55,"[55, 31, 29, 41]"
hunting,3,29,42,"[37, 29, 37, 42]"
etc,3,29,83,"[83, 29, 77, 33]"
letting,3,28,97,"[97, 53, 36, 28]"
purchase,3,28,53,"[45, 53, 28, 41]"
principle,3,28,105,"[105, 45, 100, 28]"
youthful,3,28,79,"[79, 28, 38, 38]"
bless,3,28,263,"[263, 72, 28, 37]"
articles,3,28,107,"[107, 31, 28, 41]"
shrill,3,28,42,"[39, 42, 32, 28]"
tore,3,28,75,"[75, 48, 28, 34]"
burden,3,28,87,"[87, 50, 33, 28]"
hither,3,28,74,"[74, 32, 28, 45]"
statue,3,28,44,"[41, 28, 42, 44]"
belonged,3,28,143,"[143, 63, 28, 40]"
sooner,3,28,216,"[216, 68, 28, 43]"
dish,3,28,39,"[38, 36, 28, 39]"
accounts,3,28,74,"[74, 47, 28, 34]"
marvellous,3,28,63,"[63, 46, 28, 37]"
admiration,3,28,206,"[206, 80, 28, 45]"
reported,3,28,47,"[47, 38, 28, 30]"
variety,3,28,132,"[132, 28, 101, 33]"
seed,3,28,78,"[28, 37, 78, 31]"
unlike,3,28,82,"[82, 49, 32, 28]"
characters,3,28,234,"[73, 28, 234, 55]"
knelt,3,28,50,"[31, 28, 50, 45]"
supply,3,28,68,"[68, 31, 28, 30]"
frightened,3,28,194,"[194, 88, 28, 30]"
happily,3,28,91,"[91, 46, 28, 34]"
wishing,3,28,109,"[109, 60, 34, 28]"
performed,3,28,84,"[84, 49, 28, 30]"
remarks,3,28,103,"[103, 28, 67, 45]"
represented,3,28,99,"[99, 28, 62, 49]"
stroke,3,28,62,"[62, 45, 28, 40]"
universe,3,28,60,"[60, 28, 44, 42]"
ugly,3,28,122,"[122, 58, 32, 28]"
abandoned,3,28,100,"[100, 56, 37, 28]"
bloom,3,28,1012,"[46, 28, 1004, 1012]"
unseen,3,28,40,"[40, 28, 37, 31]"
pains,3,28,91,"[91, 46, 28, 41]"
jacket,3,28,64,"[64, 51, 28, 41]"
sheets,3,28,55,"[55, 33, 28, 32]"
pound,3,28,108,"[108, 28, 38, 42]"
offended,3,28,61,"[61, 28, 35, 39]"
judgment,3,28,189,"[189, 45, 28, 40]"
favourite,3,28,179,"[179, 31, 28, 52]"
respectable,3,28,173,"[173, 35, 28, 44]"
preceding,3,28,100,"[100, 28, 33, 33]"
mankind,3,28,80,"[80, 66, 28, 38]"
mild,3,28,91,"[91, 28, 33, 56]"
earliest,3,28,43,"[43, 32, 28, 31]"
attracted,3,28,86,"[86, 74, 28, 32]"
spare,3,28,183,"[183, 69, 28, 50]"
regarded,3,28,180,"[180, 82, 28, 55]"
northern,3,28,52,"[36, 28, 52, 42]"
bend,3,28,54,"[54, 28, 38, 35]"
preferred,3,28,89,"[89, 30, 28, 30]"
attempted,3,28,68,"[68, 40, 47, 28]"
mounted,3,28,106,"[106, 49, 28, 31]"
bears,3,28,73,"[73, 28, 61, 61]"
derived,3,28,73,"[46, 28, 73, 61]"
clay,3,28,38,"[38, 37, 28, 31]"
foundation,3,28,64,"[64, 28, 30, 31]"
obvious,3,28,49,"[39, 34, 49, 28]"
plenty,3,28,133,"[133, 56, 28, 36]"
accustomed,3,28,163,"[163, 124, 46, 28]"
schools,3,28,76,"[76, 39, 28, 36]"
treat,3,28,80,"[80, 40, 36, 28]"
affairs,3,28,180,"[180, 131, 60, 28]"
thence,3,28,58,"[47, 28, 50, 58]"
establishment,3,27,128,"[128, 30, 27, 34]"
parted,3,27,121,"[121, 83, 27, 42]"
benefit,3,27,80,"[80, 39, 30, 27]"
changing,3,27,80,"[80, 45, 53, 27]"
sins,3,27,53,"[27, 53, 51, 47]"
seas,3,27,126,"[101, 27, 53, 126]"
intimate,3,27,89,"[89, 61, 32, 27]"
declared,3,27,120,"[120, 52, 27, 61]"
riding,3,27,67,"[67, 40, 27, 31]"
revealed,3,27,85,"[85, 70, 27, 38]"
afforded,3,27,69,"[69, 38, 27, 38]"
sentence,3,27,103,"[103, 47, 27, 37]"
article,3,27,91,"[91, 65, 27, 40]"
popular,3,27,80,"[80, 27, 50, 48]"
needed,3,27,110,"[110, 92, 33, 27]"
alas,3,27,149,"[109, 149, 27, 43]"
folly,3,27,90,"[90, 49, 27, 35]"
leather,3,27,50,"[50, 27, 39, 38]"
slipped,3,27,98,"[98, 61, 41, 27]"
nodding,3,27,80,"[80, 31, 32, 27]"
maid,3,27,104,"[104, 67, 60, 27]"
accept,3,27,129,"[129, 91, 27, 36]"
jealous,3,27,88,"[88, 62, 31, 27]"
washing,3,27,48,"[48, 27, 32, 32]"
noon,3,27,63,"[60, 63, 27, 36]"
preserved,3,27,82,"[82, 44, 64, 27]"
curse,3,27,50,"[50, 27, 36, 41]"
thoroughly,3,27,191,"[191, 56, 38, 27]"
settle,3,27,133,"[133, 62, 27, 33]"
cook,3,27,167,"[167, 51, 27, 82]"
dollars,3,27,116,"[116, 31, 27, 33]"
emotions,3,27,79,"[79, 46, 27, 33]"
shone,3,27,82,"[82, 73, 31, 27]"
household,3,27,68,"[68, 62, 34, 27]"
beds,3,27,72,"[72, 34, 50, 27]"
recent,3,27,80,"[70, 35, 80, 27]"
lock,3,27,104,"[104, 70, 30, 27]"
hospital,3,27,124,"[124, 30, 27, 32]"
residence,3,27,72,"[72, 30, 27, 41]"
process,3,27,115,"[115, 35, 96, 27]"
cards,3,27,68,"[68, 53, 27, 30]"
funny,3,27,45,"[27, 30, 45, 39]"
papa,3,27,240,"[240, 38, 38, 27]"
remind,3,27,57,"[57, 43, 27, 30]"
distress,3,27,150,"[150, 63, 27, 44]"
club,3,27,81,"[81, 81, 35, 27]"
solitary,3,27,161,"[161, 68, 27, 46]"
distinction,3,27,69,"[69, 34, 38, 27]"
retired,3,27,185,"[185, 103, 27, 32]"
closing,3,27,65,"[63, 65, 39, 27]"
reasonable,3,27,112,"[112, 35, 27, 40]"
passes,3,27,81,"[81, 32, 27, 32]"
twisted,3,27,53,"[53, 27, 30, 33]"
lent,3,27,39,"[39, 27, 38, 31]"
triumph,3,27,111,"[111, 82, 27, 38]"
bits,3,27,58,"[58, 27, 38, 36]"
ghosts,3,27,57,"[38, 27, 54, 57]"
element,3,26,50,"[50, 39, 40, 26]"
bay,3,26,52,"[43, 26, 52, 41]"
hideous,3,26,146,"[146, 83, 26, 35]"
origin,3,26,98,"[37, 26, 98, 49]"
regret,3,26,151,"[151, 98, 26, 47]"
separated,3,26,93,"[93, 77, 59, 26]"
probability,3,26,85,"[85, 34, 26, 34]"
range,3,26,91,"[49, 33, 91, 26]"
disease,3,26,60,"[60, 34, 30, 26]"
chains,3,26,53,"[53, 30, 26, 39]"
possibility,3,26,109,"[109, 61, 26, 36]"
circles,3,26,56,"[43, 26, 44, 56]"
joke,3,26,66,"[66, 51, 26, 36]"
embrace,3,26,63,"[63, 26, 33, 33]"
stopping,3,26,150,"[150, 82, 30, 26]"
slip,3,26,71,"[71, 44, 39, 26]"
birthday,3,26,53,"[53, 26, 37, 34]"
card,3,26,96,"[96, 26, 65, 59]"
career,3,26,60,"[60, 60, 33, 26]"
shortly,3,26,99,"[99, 49, 26, 43]"
fantastic,3,26,42,"[41, 42, 37, 26]"
contempt,3,26,91,"[91, 67, 26, 31]"
examined,3,26,94,"[94, 92, 38, 26]"
hue,3,26,57,"[57, 26, 30, 43]"
hastily,3,26,217,"[217, 96, 30, 26]"
castle,3,26,159,"[26, 95, 159, 151]"
win,3,26,66,"[66, 26, 43, 31]"
meal,3,26,70,"[70, 57, 26, 30]"
suspected,3,26,118,"[118, 58, 31, 26]"
shout,3,26,67,"[67, 33, 32, 26]"
finds,3,26,113,"[113, 26, 39, 41]"
families,3,26,127,"[127, 42, 68, 26]"
blows,3,26,91,"[91, 33, 26, 42]"
worship,3,26,63,"[63, 26, 48, 58]"
rushed,3,26,139,"[135, 139, 43, 26]"
enjoyed,3,26,75,"[75, 60, 31, 26]"
readers,3,26,54,"[26, 32, 52, 54]"
choose,3,26,140,"[140, 77, 26, 41]"
neat,3,26,98,"[98, 26, 30, 32]"
dropping,3,26,67,"[67, 36, 26, 32]"
fever,3,26,138,"[138, 61, 30, 26]"
magic,3,26,52,"[52, 26, 30, 35]"
directions,3,26,95,"[95, 49, 26, 41]"
endless,3,26,45,"[45, 26, 31, 32]"
plates,3,26,56,"[56, 26, 36, 35]"
successful,3,26,55,"[55, 51, 33, 26]"
indifferent,3,26,116,"[116, 66, 26, 43]"
multitude,3,26,72,"[72, 41, 48, 26]"
statement,3,26,90,"[90, 43, 34, 26]"
longed,3,26,79,"[48, 79, 26, 32]"
threshold,3,26,60,"[60, 26, 37, 35]"
roof,3,26,182,"[182, 105, 31, 26]"
shelter,3,26,82,"[82, 72, 32, 26]"
haste,3,26,154,"[154, 113, 26, 32]"
consent,3,26,140,"[140, 64, 26, 34]"
damn,3,25,82,"[48, 25, 80, 82]"
angel,3,25,161,"[161, 76, 25, 38]"
profession,3,25,197,"[197, 37, 25, 30]"
victory,3,25,49,"[49, 33, 38, 25]"
descent,3,25,112,"[30, 25, 112, 30]"
shillings,3,25,67,"[67, 25, 65, 67]"
prevented,3,25,96,"[96, 56, 25, 38]"
flash,3,25,84,"[84, 82, 31, 25]"
motive,3,25,97,"[97, 42, 25, 43]"
relate,3,25,61,"[61, 43, 25, 33]"
holds,3,25,80,"[80, 25, 55, 53]"
likewise,3,25,134,"[134, 25, 60, 56]"
aspect,3,25,214,"[214, 54, 25, 61]"
furnished,3,25,118,"[118, 42, 25, 36]"
appeal,3,25,88,"[88, 55, 30, 25]"
lively,3,25,138,"[138, 63, 25, 59]"
deeper,3,25,111,"[111, 49, 25, 44]"
jaws,3,25,49,"[46, 25, 45, 49]"
swept,3,25,81,"[71, 81, 32, 25]"
accomplished,3,25,113,"[113, 39, 25, 40]"
everyone,3,25,314,"[25, 314, 78, 58]"
members,3,25,81,"[81, 51, 81, 25]"
missed,3,25,77,"[77, 70, 33, 25]"
support,3,25,129,"[129, 101, 41, 25]"
dared,3,25,142,"[142, 84, 25, 48]"
spell,3,25,62,"[62, 34, 25, 32]"
speaks,3,25,59,"[59, 25, 41, 38]"
friendship,3,25,108,"[108, 77, 25, 32]"
notwithstanding,3,25,93,"[93, 58, 31, 25]"
landing,3,25,60,"[35, 60, 39, 25]"
trial,3,25,128,"[128, 80, 25, 30]"
imagined,3,25,119,"[119, 60, 30, 25]"
term,3,25,98,"[98, 25, 55, 40]"
wolf,3,25,51,"[42, 51, 36, 25]"
tomb,3,25,85,"[85, 77, 25, 33]"
safely,3,25,75,"[75, 33, 42, 25]"
flood,3,25,46,"[42, 25, 35, 46]"
absent,3,25,101,"[101, 45, 25, 34]"
accordingly,3,25,112,"[112, 37, 25, 45]"
details,3,25,112,"[73, 112, 42, 25]"
iii,3,25,142,"[142, 25, 52, 49]"
nations,3,24,50,"[50, 45, 24, 33]"
woe,3,24,71,"[71, 35, 24, 56]"
reference,3,24,154,"[154, 35, 24, 39]"
army,3,24,144,"[144, 50, 75, 24]"
restless,3,24,79,"[79, 45, 30, 24]"
signed,3,24,76,"[55, 76, 24, 42]"
eggs,3,24,72,"[30, 31, 72, 24]"
consciousness,3,24,192,"[192, 75, 24, 31]"
nay,3,24,141,"[141, 84, 24, 60]"
philosophy,3,24,91,"[91, 69, 24, 35]"
hush,3,24,133,"[133, 57, 34, 24]"
reduced,3,24,77,"[77, 24, 44, 30]"
sofa,3,24,101,"[101, 76, 50, 24]"
dusk,3,24,44,"[44, 34, 33, 24]"
safety,3,24,78,"[78, 69, 24, 35]"
ashamed,3,24,180,"[180, 110, 24, 31]"
gloves,3,24,90,"[90, 47, 37, 24]"
slightest,3,24,111,"[111, 91, 24, 38]"
admire,3,24,98,"[98, 38, 24, 38]"
impulse,3,24,102,"[102, 65, 32, 24]"
flushed,3,24,63,"[45, 63, 40, 24]"
declare,3,24,80,"[80, 35, 24, 37]"
sail,3,24,103,"[100, 61, 24, 103]"
assume,3,24,42,"[42, 41, 35, 24]"
profit,3,24,60,"[60, 46, 24, 30]"
earnestly,3,24,117,"[117, 49, 24, 42]"
steady,3,24,140,"[140, 54, 24, 47]"
gardens,3,24,54,"[54, 35, 30, 24]"
disposition,3,24,176,"[176, 39, 24, 50]"
dozen,3,24,118,"[118, 82, 70, 24]"
disappointed,3,24,128,"[128, 45, 24, 32]"
pencil,3,24,51,"[51, 24, 30, 32]"
occasional,3,24,69,"[52, 24, 69, 34]"
hadn,3,24,192,"[192, 72, 57, 24]"
suspicion,3,24,156,"[156, 77, 24, 32]"
enabled,3,24,52,"[51, 38, 52, 24]"
wooden,3,24,177,"[177, 55, 24, 54]"
parent,3,24,127,"[50, 24, 127, 35]"
quay,3,24,42,"[33, 24, 41, 42]"
connection,3,24,84,"[84, 55, 24, 35]"
exist,3,24,87,"[87, 53, 64, 24]"
paying,3,24,88,"[88, 48, 24, 30]"
fears,3,24,100,"[100, 82, 24, 46]"
driver,3,24,74,"[74, 66, 24, 30]"
sails,3,24,56,"[48, 38, 24, 56]"
daughters,3,23,159,"[159, 23, 80, 134]"
brave,3,23,90,"[89, 90, 23, 38]"
eve,3,23,36,"[34, 23, 36, 36]"
nearest,3,23,89,"[89, 62, 39, 23]"
grounds,3,23,85,"[85, 39, 23, 37]"
crack,3,23,51,"[51, 34, 23, 32]"
pope,3,23,79,"[23, 38, 79, 36]"
attempts,3,23,52,"[52, 23, 37, 37]"
cloak,3,23,73,"[73, 71, 36, 23]"
governor,3,23,86,"[86, 83, 23, 36]"
infinite,3,23,110,"[110, 56, 37, 23]"
observe,3,23,193,"[193, 64, 23, 35]"
guests,3,23,101,"[58, 101, 37, 23]"
brilliant,3,23,95,"[88, 95, 31, 23]"
anyhow,3,23,85,"[23, 31, 85, 64]"
grows,3,23,45,"[45, 23, 30, 30]"
counter,3,23,59,"[41, 23, 59, 43]"
lesson,3,23,65,"[65, 59, 23, 34]"
sheep,3,23,59,"[55, 23, 59, 31]"
